대여일자,대여소번호,이용건수,주말,대중교통,도심_외곽,강수량 합산,강수 지속시간 합산,평균 기온 평균,최고 기온 평균,최저 기온 평균,평균 습도 평균,최저 습도 평균,평균 풍속 평균,최대 풍속 평균,최대 순간 풍속 평균,계절
2024-06-26,298,59,False,False,True,0.0,0.0,23.18262067731618,29.780828310635123,16.58441304399724,55.76664992401339,42.18882601781195,1.6096833851221002,3.7675986803144927,5.5571740117598205,여름
2024-06-26,299,26,False,False,True,0.0,0.0,23.729609146386068,30.487592052564644,16.971626240207488,55.66891021429508,41.503044444889134,2.5201380726034293,2.6504915946952727,6.16848437825654,여름
2024-06-26,300,55,False,False,True,0.0,0.0,22.64333775468953,29.865328685930223,15.421346823448827,57.57624639570184,45.98202603021193,2.738564296538604,5.280324978302086,4.928405035248715,여름
2024-06-26,301,71,False,True,True,0.0,0.0,23.085810395115423,28.79213673589195,17.3794840543389,55.65155695193078,38.566952693297296,2.8883240336623723,2.9285987869366843,7.399043595701671,여름
2024-06-26,302,124,False,True,True,0.0,0.0,22.58555091911368,27.901484293323467,17.269617544903895,55.28622434221941,40.90100143815502,3.322072528227042,4.360726590275514,5.885083371570557,여름
2024-06-26,303,154,False,True,True,0.0,0.0,22.523423080313336,28.766996020557567,16.279850140069108,57.54088536293224,44.85062842465837,0.7672713267908409,1.915894089063701,4.439063820071397,여름
2024-06-26,305,125,False,False,True,0.0,0.0,22.41141607115208,28.249489157069085,16.573342985235076,57.84887660544541,45.83257750304494,1.2807647002377085,1.977264843387375,7.894141795808489,여름
2024-06-26,307,53,False,True,True,0.0,0.0,22.7732053872736,27.437620376854685,18.10879039769252,57.2666912863848,40.60882353861122,3.840087056905716,5.475460312927093,7.717195342788212,여름
2024-06-26,308,166,False,False,True,0.0,0.0,24.037198435389133,29.914619756377384,18.15977711440088,55.55183562669031,43.13895366690858,2.664252527203474,3.8139687585428974,4.618795284632857,여름
2024-06-26,309,31,False,True,True,0.0,0.0,24.466436365570324,30.529100653760104,18.40377207738054,53.88351314337865,40.37345608045506,3.1794984259920334,3.342122645764679,7.047876322095702,여름
2024-06-26,310,58,False,False,True,0.0,0.0,23.388478446814663,29.554444493936167,17.222512399693162,59.24083093897552,44.79594573199525,1.9980756515501925,4.124316046202801,6.616583313902085,여름
2024-06-26,314,61,False,False,True,0.0,0.0,22.362817855097763,29.850638674023926,14.8749970361716,56.43640501241303,41.009328733907104,1.906927261296399,4.03906487138511,8.035812231318088,여름
2024-06-26,316,111,False,True,True,0.0,0.0,21.990968607037384,29.13046824940523,14.85146896466954,53.460907636766535,38.54431023806122,2.827885607299315,5.057673172017977,5.016983881665481,여름
2024-06-26,318,63,False,False,True,0.0,0.0,22.538539086376208,29.1594549774758,15.917623195276615,59.41249114353441,45.15885510858387,3.3094237583345736,3.837667376396277,5.798841359827257,여름
2024-06-26,320,79,False,True,True,0.0,0.0,22.3669918269544,29.61926035446441,15.114723299444384,57.43392516581347,40.94706273422105,2.518344811894768,4.295230571551015,4.329694791228462,여름
2024-06-26,321,68,False,False,True,0.0,0.0,21.564200192481792,28.139470929464924,14.98892945549866,56.89305360869317,42.88858077018739,3.936325817881678,5.089377441384704,6.911858663736087,여름
2024-06-26,322,40,False,False,True,0.0,0.0,22.705027916130145,27.59476782626277,17.815288005997512,60.49592555715668,46.49839201734634,4.375623118339981,5.455286127115531,5.838552792156055,여름
2024-06-26,324,40,False,False,True,0.0,0.0,23.07822532063888,28.690419767217776,17.46603087405998,61.27851137571178,46.357262773164834,2.6069206077844536,4.991543767296452,6.280686339437887,여름
2024-06-26,326,64,False,True,True,0.0,0.0,23.23589723684429,30.54528992176552,15.926504551923076,58.00920830975707,39.65152418144509,3.061433149868684,4.743741034431199,7.138012463957408,여름
2024-06-26,327,62,False,False,True,0.0,0.0,23.75971111140197,30.55965176929846,16.959770453505485,56.47892881199844,43.01071233383204,2.5670840856959067,4.883683457842645,8.209300903725799,여름
2024-06-26,328,39,False,False,True,0.0,0.0,22.75318481901536,28.846112003465063,16.66025763456564,59.26478094536216,46.9100984533028,1.628458583968755,2.944296059284435,4.278632568399679,여름
2024-06-26,329,73,False,False,True,0.0,0.0,22.02200007661123,27.12930145761924,16.91469869560322,57.81597125436373,46.82583383594512,2.5528498049789388,4.051213267374438,4.438258435529999,여름
2024-06-26,331,85,False,False,True,0.0,0.0,22.884725824728665,31.09442991249016,14.675021736967173,54.2485312654306,39.39552062266683,2.035558941966157,4.58545375196473,8.235439099293165,여름
2024-06-26,332,48,False,False,True,0.0,0.0,23.13793576871692,30.570790554679697,15.705080982754144,57.75869441162881,45.31084661685646,0.8869805351015319,2.3538084691716885,4.304264907139162,여름
2024-06-26,334,63,False,True,True,0.0,0.0,23.598277913390675,30.42343744307505,16.773118383706304,56.24582420811689,39.620013634096736,3.047030547037833,4.701668386928827,6.113269479815337,여름
2024-06-26,335,57,False,True,True,0.0,0.0,23.300943408394616,30.918113345721085,15.683773471068143,52.75020522082666,38.58419792454924,2.0404933876152844,4.34631575243097,4.259699793985152,여름
